Area_Description,2018.0,"Abduction, Harassment and Other Related Offences Against a Person",Acts Intended to Cause Injury,"Robbery, Extortion and Related Offences",Sexual Assault and Related Offences,Theft and Related Offences,"Unlawful Entry With Intent/Burglary, Break and Enter"
Northcote,1587.0,0.0,0.0,0.0,0.0,0.0,0.0
Northcote Point,1116.0,0.0,0.0,0.0,0.0,0.0,0.0
Northcote Tuff Crater,756.0,0.0,0.0,0.0,0.0,0.0,0.0
Northcross,1080.0,0.0,6.0,0.0,1.0,40.0,16.0
Northpark,1653.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceanic Auckland Region,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Okahukura Peninsula,522.0,0.0,0.0,0.0,0.0,0.0,0.0
Okura Bush,432.0,0.0,0.0,0.0,0.0,0.0,0.0
One Tree Hill,1680.0,0.0,0.0,0.0,0.0,0.0,0.0
Onehunga,3909.0,0.0,0.0,0.0,0.0,0.0,0.0
Onehunga-Te Papapa Industrial,369.0,0.0,0.0,0.0,0.0,0.0,0.0
Oneroa,606.0,0.0,0.0,0.0,0.0,0.0,0.0
Oneroa-Palm Beach,513.0,0.0,0.0,0.0,0.0,0.0,0.0
Onetangi,513.0,0.0,0.0,0.0,0.0,0.0,0.0
Opaheke,903.0,0.0,10.0,0.0,0.0,28.0,15.0
Orakei,2073.0,0.0,0.0,0.0,0.0,0.0,0.0
Oranga,879.0,0.0,6.0,3.0,1.0,69.0,51.0
Oratia,717.0,0.0,3.0,0.0,0.0,30.0,16.0
Orewa,4389.0,0.0,0.0,0.0,0.0,0.0,0.0
Ormiston,1944.0,0.0,0.0,0.0,0.0,0.0,0.0
Ostend,771.0,0.0,0.0,0.0,0.0,0.0,0.0
Otahuhu,3918.0,0.0,22.0,8.0,3.0,102.0,65.0
Otahuhu Industrial,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Otara,2757.0,0.0,57.0,5.0,1.0,137.0,84.0
Oteha,1665.0,0.0,0.0,0.0,0.0,0.0,0.0
Owairaka,1665.0,0.0,9.0,8.0,2.0,95.0,71.0
Pahurehure,1032.0,0.0,4.0,0.0,1.0,41.0,15.0
Pakuranga,2418.0,0.0,15.0,2.0,1.0,200.0,67.0
Pakuranga Heights,2811.0,0.0,0.0,0.0,0.0,0.0,0.0
Panmure,1257.0,0.0,0.0,0.0,0.0,0.0,0.0
Panmure Glen Innes Industrial,51.0,0.0,0.0,0.0,0.0,0.0,0.0
Papakura,4701.0,0.0,153.0,20.0,4.0,871.0,220.0
Papakura Industrial,51.0,0.0,0.0,0.0,0.0,0.0,0.0
Papakura Kelvin,1095.0,0.0,0.0,0.0,0.0,0.0,0.0
Papakura Massey Park,789.0,0.0,0.0,0.0,0.0,0.0,0.0
Papatoetoe,7251.0,0.0,121.0,36.0,11.0,1038.0,327.0
Parakai,375.0,0.0,0.0,0.0,0.0,0.0,0.0
Paremoremo,936.0,0.0,53.0,3.0,1.0,16.0,17.0
Parnell,3021.0,0.0,24.0,6.0,0.0,334.0,107.0
Patumahoe,765.0,0.0,8.0,1.0,1.0,8.0,11.0
Penrose,297.0,0.0,22.0,3.0,2.0,118.0,56.0
Piha,396.0,0.0,0.0,0.0,0.0,0.0,0.0
Pinehill,1155.0,0.0,4.0,1.0,0.0,193.0,21.0
Point Chevalier,3033.0,0.0,28.0,8.0,0.0,429.0,83.0
Point England,1323.0,0.0,14.0,0.0,1.0,80.0,54.0
Ponsonby,2085.0,0.0,22.0,1.0,3.0,243.0,53.0
Puhinui,2400.0,0.0,57.0,17.0,7.0,584.0,96.0
Puhoi Valley,1242.0,0.0,0.0,0.0,0.0,0.0,0.0
Pukekohe,3204.0,0.0,18.0,5.0,0.0,109.0,44.0
Pukekohe Hospital,609.0,0.0,0.0,0.0,0.0,0.0,0.0
Puni,480.0,0.0,0.0,0.0,0.0,0.0,0.0
Quay Street-Customs Street,1107.0,0.0,0.0,0.0,0.0,0.0,0.0
Queen Street,1860.0,0.0,0.0,0.0,0.0,0.0,0.0
Ramarama,663.0,0.0,0.0,0.0,0.0,0.0,0.0
Randwick Park,1518.0,0.0,0.0,0.0,0.0,0.0,0.0
Ranui,2646.0,0.0,0.0,0.0,0.0,0.0,0.0
Ranui Domain,954.0,0.0,20.0,7.0,0.0,62.0,44.0
Red Beach,2322.0,0.0,8.0,2.0,0.0,48.0,32.0
Red Hill,792.0,0.0,4.0,0.0,0.0,32.0,43.0
Redcastle,759.0,0.0,0.0,0.0,0.0,0.0,0.0
Remuera,4368.0,0.0,22.0,8.0,3.0,306.0,74.0
Remuera Abbotts Park,1296.0,0.0,0.0,0.0,0.0,0.0,0.0
Remuera Waiata,996.0,0.0,0.0,0.0,0.0,0.0,0.0
Remuera Waiatarua,804.0,0.0,0.0,0.0,0.0,0.0,0.0
Remuera Waitaramoa,1368.0,0.0,0.0,0.0,0.0,0.0,0.0
Riverhead,864.0,0.0,2.0,1.0,1.0,9.0,6.0
Riverhead Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rongomai,918.0,0.0,0.0,0.0,0.0,0.0,0.0
Rooseville Park,864.0,0.0,0.0,0.0,0.0,0.0,0.0
Rosa Birch Park,768.0,0.0,0.0,0.0,0.0,0.0,0.0
Rosebank Peninsula,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Rosehill,1113.0,1.0,11.0,5.0,0.0,153.0,37.0
Rothesay Bay,960.0,0.0,0.0,2.0,0.0,26.0,22.0
Rowandale,1566.0,0.0,0.0,0.0,0.0,0.0,0.0
Royal Heights,2160.0,0.0,0.0,0.0,0.0,0.0,0.0
Royal Oak,1881.0,0.0,0.0,0.0,0.0,0.0,0.0
Saint Heliers,4341.0,0.0,0.0,0.0,0.0,0.0,0.0
Saint Johns,2055.0,0.0,0.0,0.0,0.0,0.0,0.0
Saint Marys Bay,978.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandringham,3981.0,0.0,37.0,7.0,1.0,892.0,152.0
Sandspit,393.0,0.0,0.0,0.0,0.0,0.0,0.0
Schnapper Rock,1107.0,0.0,0.0,0.0,0.0,0.0,0.0
Shelly Park,933.0,0.0,0.0,0.0,1.0,9.0,6.0
Shortland Street,1071.0,0.0,0.0,0.0,0.0,0.0,0.0
Silverdale,756.0,0.0,0.0,0.0,0.0,0.0,0.0
Snells Beach,1380.0,0.0,2.0,2.0,1.0,23.0,10.0
Somerville,1392.0,0.0,0.0,0.0,0.0,0.0,0.0
South Head,903.0,0.0,3.0,0.0,0.0,10.0,14.0
St Lukes,903.0,0.0,9.0,1.0,0.0,264.0,70.0
Stanley Point,615.0,0.0,0.0,0.0,0.0,0.0,0.0
Stanmore Bay,1938.0,0.0,11.0,3.0,0.0,35.0,26.0
Stonefields,1425.0,0.0,0.0,0.0,0.0,0.0,0.0
Summerland,1734.0,0.0,0.0,0.0,0.0,0.0,0.0
Sunkist Bay,1074.0,0.0,0.0,0.0,0.0,0.0,0.0
Sunnyhills,1185.0,0.0,0.0,0.0,0.0,0.0,0.0
Sunnyhills-Pakuranga,1149.0,0.0,0.0,0.0,0.0,0.0,0.0
Sunnynook,1734.0,0.0,0.0,0.0,0.0,0.0,0.0
Sunnyvale,1449.0,0.0,0.0,0.0,0.0,0.0,0.0
Sunnyvale-Parrs Park,699.0,0.0,0.0,0.0,0.0,0.0,0.0
Surfdale,789.0,0.0,0.0,0.0,0.0,0.0,0.0
