Address,Price,Bedroom,Bathroom,Garage,Other Feature 1,Other Feature 2,Furniture,Type_Apartment,Type_Carpark,Type_House,Type_Studio,Type_Townhouse,Type_Unit,Type_Unknown,Suburb
"4H/19 Fleet Street, Eden Terrace, Auckland City",695.0,2,1,1,,,0,0,0,1,0,0,0,0,Eden Terrace
"104/2 Finch Street, Morningside, Auckland City",570.0,1,1,,,,0,0,0,1,0,0,0,0,Morningside
"1/65 Selwyn Avenue, Mission Bay, Auckland City",795.0,3,1,2,,,0,0,0,1,0,0,0,0,Mission Bay
"14 brookland Place, Remuera, Auckland City",1250.0,4,3,5,1 ensuite,,0,0,0,1,0,0,0,0,Remuera
"406/138 Anzac Ave, Auckland Central, Auckland City",320.0,1,1,,1 ensuite,,0,1,0,0,0,0,0,0,Auckland Central
"121/72 Nelson St , Auckland Central, Auckland City",470.0,2,1,,,,0,1,0,0,0,0,0,0,Auckland Central
"4/183 Mt Albert Road, Sandringham, Auckland City",620.0,2,1,2,,,0,0,0,0,0,0,1,0,Sandringham
"6/245 Gillies Avenue, Epsom, Auckland City",1350.0,4,3,2,,,0,0,0,1,0,0,0,0,Epsom
"12/10 Ngauruhoe Street, Mount Eden, Auckland City",470.0,1,1,,,,0,0,0,0,0,0,1,0,Mount Eden
"1/92 Princes Street, Otahuhu, Auckland City",420.0,1,1,1,,,0,0,0,0,0,0,1,0,Otahuhu
"1A/1 Haverstock, Sandringham, Auckland City",670.0,3,1,2,,,0,0,0,1,0,0,0,0,Sandringham
"20A Jamaica Place, Blockhouse Bay, Auckland City",800.0,4,2,1,1 ensuite,,0,0,0,0,0,1,0,0,Blockhouse Bay
"2/1976 Great North Road, Avondale, Auckland City",590.0,2,1,,,,0,1,0,0,0,0,0,0,Avondale
"4D/34 Kingston Street, Auckland Central, Auckland City",450.0,2,1,,,,1,1,0,0,0,0,0,0,Auckland Central
"17 Wimbledon Way, Remuera, Auckland City",900.0,3,1,2,,,1,0,0,1,0,0,0,0,Remuera
"72 Nelson Street, Auckland Central, Auckland City",480.0,2,1,,,,0,1,0,0,0,0,0,0,Auckland Central
"13 Linden Street, Mount Roskill, Auckland City",650.0,2,1,,,,0,0,0,1,0,0,0,0,Mount Roskill
"Q/35 Garnet Road, Westmere, Auckland City",860.0,3,2,2,1 ensuite,,0,0,0,0,0,1,0,0,Westmere
"7 Elam Street, Parnell, Auckland City",1895.0,3,3,2,265m2,,0,0,0,1,0,0,0,0,Parnell
"3/683 Great South Road, Otahuhu, Auckland City",425.0,2,1,,,,0,0,0,0,0,0,1,0,Otahuhu
"301/26 Poynton Terrace, Auckland Central, Auckland City",795.0,2,2,1,,,0,0,0,1,0,0,0,0,Auckland Central
"35 Hobson Street, Auckland Central, Auckland City",465.0,1,1,,,,1,1,0,0,0,0,0,0,Auckland Central
"711/22 Nelson Street, Auckland Central, Auckland City",500.0,1,1,,,,0,1,0,0,0,0,0,0,Auckland Central
"35A Ronaki Road, Mission Bay, Auckland City",1050.0,3,2,2,1,,0,0,0,1,0,0,0,0,Mission Bay
"65 Selwyn Avenue, Mission Bay, Auckland City",795.0,3,2,2,,,0,0,0,1,0,0,0,0,Mission Bay
"J/40A Monteith Crescent, Remuera, Auckland City",980.0,4,2,4,,,0,0,0,1,0,0,0,0,Remuera
"82 St Marys Road, Saint Marys Bay, Auckland City",2300.0,2,3,4,198m2,,0,1,0,0,0,0,0,0,Saint Marys Bay
"2149B Great North Road, Avondale, Auckland City",715.0,3,1,,2,132m2,0,0,0,1,0,0,0,0,Avondale
"23 Paget Street, Freemans Bay, Auckland City",2450.0,3,3,1,,,0,0,0,1,0,0,0,0,Freemans Bay
